City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,carutapera,-1.195,-46.02,24.38,94.0,33.0,2.82,BR,1719006104.0
98,tilcara,-23.5776,-65.3509,9.5,10.0,0.0,7.13,AR,1719006105.0
99,prince rupert,54.3161,-130.3201,15.05,78.0,100.0,2.57,CA,1719006106.0
100,tateyama,34.9833,139.8667,20.05,83.0,100.0,2.89,JP,1719006107.0
101,vilyuysk,63.7553,121.6247,18.88,73.0,11.0,1.28,RU,1719006108.0
102,puerto aysen,-45.4,-72.7,3.47,99.0,100.0,1.31,CL,1719006110.0
103,bulata,9.8599,122.4016,27.11,80.0,100.0,1.18,PH,1719006111.0
104,tarime,-1.35,34.3667,15.61,77.0,14.0,2.06,TZ,1719006112.0
105,coracora,-15.0333,-73.7833,13.95,42.0,79.0,3.98,PE,1719006113.0
106,colonia aurora,-27.4743,-54.525,19.03,85.0,39.0,1.94,AR,1719006114.0
107,north bay,46.3168,-79.4663,22.01,64.0,75.0,4.12,CA,1719005957.0
108,broken hill,-31.95,141.4333,4.77,76.0,2.0,3.8,AU,1719006116.0
109,codrington,-38.2667,141.9667,10.58,60.0,94.0,2.91,AU,1719006118.0
110,cabedelo,-6.9811,-34.8339,24.37,84.0,11.0,4.97,BR,1719006012.0
111,erenhot,43.6475,111.9767,9.37,70.0,100.0,12.93,CN,1719006120.0
112,griffith,41.5284,-87.4237,34.1,44.0,40.0,5.14,US,1719006121.0
113,nueva villa de padilla,24.0167,-98.7833,29.03,67.0,44.0,3.85,MX,1719006122.0
114,mount gambier,-37.8333,140.7667,7.21,76.0,100.0,0.82,AU,1719006123.0
115,araci,-11.3333,-38.9667,23.13,66.0,84.0,4.5,BR,1719006125.0
116,puerto natales,-51.7236,-72.4875,0.25,74.0,75.0,1.54,CL,1719006126.0
117,hermanus,-34.4187,19.2345,14.89,82.0,33.0,5.71,ZA,1719006127.0
118,quellon,-43.1167,-73.6167,7.91,90.0,78.0,3.12,CL,1719006064.0
119,cargados carajos,,,,,,,,
120,carnarvon,-24.8667,113.6333,20.59,63.0,60.0,2.07,AU,1719006131.0
121,olonkinbyen,70.9221,-8.7187,1.39,83.0,84.0,3.78,SJ,1719006132.0
122,khorixas,-20.3667,14.9667,19.06,24.0,0.0,3.35,NA,1719006133.0
123,paragominas,-2.9667,-47.4833,25.31,75.0,50.0,1.98,BR,1719005992.0
124,anadyr,64.75,177.4833,5.28,100.0,100.0,2.0,RU,1719006135.0
125,humaita,-7.5061,-63.0208,28.93,44.0,4.0,0.48,BR,1719006136.0
126,kalagarh project colony,29.5,78.75,28.41,53.0,3.0,1.38,IN,1719006138.0
127,west end,26.6833,-78.9667,30.99,76.0,2.0,5.82,BS,1719006139.0
128,sao gabriel da cachoeira,-0.1303,-67.0892,31.89,62.0,40.0,1.03,BR,1719006140.0
129,turbat,26.0023,63.044,32.44,47.0,0.0,2.81,PK,1719006141.0
130,anzio,41.4853,12.6179,27.07,86.0,1.0,5.27,IT,1719006142.0
131,zhalantun,48.0,122.7167,14.93,85.0,100.0,5.39,CN,1719006143.0
132,queenstown,-31.8976,26.8753,13.75,46.0,44.0,3.94,ZA,1719006145.0
133,sao vicente,-23.9631,-46.3919,26.26,59.0,40.0,1.54,BR,1719005889.0
134,chonchi,-42.6128,-73.8092,9.56,97.0,93.0,0.89,CL,1719006147.0
135,yeniseysk,58.4497,92.1703,10.77,99.0,100.0,3.19,RU,1719006148.0
136,morrinhos,-17.7311,-49.0994,20.86,44.0,12.0,1.62,BR,1719006067.0
137,vadso,70.0744,29.7487,5.49,75.0,75.0,5.14,NO,1719006150.0
138,sumenep,-7.0167,113.8667,24.67,79.0,74.0,3.97,ID,1719006151.0
139,edinburgh of the seven seas,-37.0676,-12.3116,13.05,78.0,63.0,15.23,SH,1719006153.0
140,el bauga,18.262,33.9081,36.67,13.0,13.0,7.12,SD,1719006154.0
141,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,100.0,100.0,2.0,RU,1719006155.0
142,kol'tsovo,54.9376,83.1825,19.66,90.0,99.0,3.59,RU,1719006156.0
143,skelleftea,64.7507,20.9528,13.2,67.0,83.0,3.6,SE,1719006157.0
144,al kharijah,25.4514,30.5464,30.74,18.0,0.0,1.81,EG,1719006158.0
145,rongelap,11.1635,166.8941,28.3,81.0,100.0,8.42,MH,1719006160.0
146,valle vista,33.7478,-116.8934,40.93,23.0,0.0,1.79,US,1719006161.0
147,hithadhoo,-0.6,73.0833,28.63,73.0,96.0,5.02,MV,1719006162.0
148,sinabang,2.4803,96.3801,24.27,85.0,100.0,2.58,ID,1719006163.0
149,blackmans bay,-43.0167,147.3167,5.29,90.0,18.0,0.89,AU,1719006164.0
150,ketchikan,55.3422,-131.6461,17.26,59.0,100.0,5.14,US,1719006165.0
151,isafjordur,66.0755,-23.124,3.7,78.0,80.0,4.04,IS,1719006167.0
